LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_P90,Lab_P90_corr,Lab_P0,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,V-Arm
0.5187,0.9262,0.477545906007555,0.8925,0.460170288395317,0.9094,0.468883877049526,0.867,0.447022565869737,0.8354,0.430729701877253,0.8512,0.438876133873495,,0.515596961787471
0.5188,0.9266,0.47775214479227,0.8924,0.460118728699139,0.9095,0.468935436745704,0.8674,0.447228804654452,0.8355,0.430781261573432,0.8514,0.438979253265852,,0.515596961787471
0.5189,0.9269,0.477906823880806,0.8923,0.46006716900296,0.9096,0.468986996441883,0.8678,0.447435043439167,0.8355,0.430781261573432,0.8517,0.439133932354389,,0.515596961787471
0.519,0.9272,0.478061502969343,0.8921,0.459964049610602,0.9096,0.468986996441883,0.8683,0.447692841920061,0.8355,0.430781261573432,0.8519,0.439237051746746,,0.515596961787471
0.5191,0.9274,0.4781646223617,0.892,0.459912489914424,0.9097,0.469038556138062,0.8687,0.447899080704776,0.8355,0.430781261573432,0.8521,0.439340171139104,,0.515596961787471
0.5192,0.9277,0.478319301450236,0.8918,0.459809370522066,0.9098,0.469090115834241,0.8691,0.448105319489491,0.8355,0.430781261573432,0.8523,0.439443290531461,,0.515596961787471
0.5193,0.9279,0.478422420842594,0.8917,0.459757810825887,0.9098,0.469090115834241,0.8695,0.448311558274206,0.8355,0.430781261573432,0.8525,0.439546409923819,,0.515596961787471
0.5194,0.9282,0.47857709993113,0.8915,0.45965469143353,0.9098,0.469090115834241,0.8699,0.448517797058921,0.8355,0.430781261573432,0.8527,0.439649529316176,,0.515596961787471
0.5195,0.9284,0.478680219323488,0.8913,0.459551572041172,0.9099,0.469141675530419,0.8703,0.448724035843636,0.8355,0.430781261573432,0.8529,0.439752648708534,,0.515596961787471
0.5196,0.9286,0.478783338715845,0.8911,0.459448452648815,0.9099,0.469141675530419,0.8707,0.448930274628351,0.8355,0.430781261573432,0.8531,0.439855768100891,,0.515596961787471
0.5197,0.9288,0.478886458108203,0.8909,0.459345333256458,0.9099,0.469141675530419,0.8711,0.449136513413066,0.8355,0.430781261573432,0.8533,0.439958887493249,,0.515596961787471
0.5198,0.929,0.47898957750056,0.8906,0.459190654167921,0.9098,0.469090115834241,0.8714,0.449291192501602,0.8354,0.430729701877253,0.8534,0.440010447189427,,0.515596961787471
0.5199,0.9292,0.479092696892918,0.8904,0.459087534775564,0.9098,0.469090115834241,0.8718,0.449497431286317,0.8354,0.430729701877253,0.8536,0.440113566581785,,0.515596961787471
0.52,0.9294,0.479195816285275,0.8902,0.458984415383206,0.9098,0.469090115834241,0.8722,0.449703670071032,0.8354,0.430729701877253,0.8538,0.440216685974142,,0.515596961787471
0.5201,0.9296,0.479298935677633,0.8899,0.45882973629467,0.9097,0.469038556138062,0.8725,0.449858349159568,0.8353,0.430678142181074,0.8539,0.440268245670321,,0.515596961787471
0.5202,0.9297,0.479350495373811,0.8897,0.458726616902313,0.9097,0.469038556138062,0.8729,0.450064587944283,0.8353,0.430678142181074,0.8541,0.440371365062679,,0.515596961787471
0.5203,0.9298,0.47940205506999,0.8894,0.458571937813776,0.9096,0.468986996441883,0.8732,0.450219267032819,0.8352,0.430626582484895,0.8542,0.440422924758857,,0.515596961787471
0.5204,0.93,0.479505174462348,0.8891,0.45841725872524,0.9095,0.468935436745704,0.8735,0.450373946121356,0.8351,0.430575022788717,0.8543,0.440474484455036,,0.515596961787471
0.5205,0.9301,0.479556734158526,0.8888,0.458262579636704,0.9095,0.468935436745704,0.8738,0.450528625209892,0.8351,0.430575022788717,0.8544,0.440526044151215,,0.515596961787471
0.5206,0.9302,0.479608293854705,0.8885,0.458107900548168,0.9094,0.468883877049526,0.8741,0.450683304298428,0.835,0.430523463092538,0.8546,0.440629163543572,,0.515596961787471
0.5207,0.9303,0.479659853550884,0.8882,0.457953221459631,0.9093,0.468832317353347,0.8744,0.450837983386964,0.8349,0.430471903396359,0.8547,0.440680723239751,,0.515596961787471
0.5208,0.9304,0.479711413247063,0.8879,0.457798542371095,0.9092,0.468780757657168,0.8747,0.4509926624755,0.8348,0.43042034370018,0.8548,0.44073228293593,,0.515596961787471
0.5209,0.9305,0.479762972943241,0.8876,0.457643863282559,0.909,0.468677638264811,0.875,0.451147341564037,0.8347,0.430368784004002,0.8549,0.440783842632109,,0.515596961787471
0.521,0.9305,0.479762972943241,0.8873,0.457489184194023,0.9089,0.468626078568632,0.8753,0.451302020652573,0.8346,0.430317224307823,0.8549,0.440783842632109,,0.515596961787471
0.5211,0.9306,0.47981453263942,0.8869,0.457282945409308,0.9088,0.468574518872453,0.8755,0.45140514004493,0.8345,0.430265664611644,0.855,0.440835402328287,,0.515596961787471
0.5212,0.9306,0.47981453263942,0.8866,0.457128266320771,0.9086,0.468471399480096,0.8758,0.451559819133467,0.8344,0.430214104915465,0.8551,0.440886962024466,,0.515596961787471
0.5213,0.9307,0.479866092335599,0.8862,0.456922027536056,0.9084,0.468368280087738,0.876,0.451662938525824,0.8342,0.430110985523108,0.8551,0.440886962024466,,0.515596961787471
