LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_90,Lab_P90_corr,Lab_P0 ,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,R-Arm
0.6403,0.8253,0.425522172563199,0.8507,0.438618335392601,0.838,0.4320702539779,0.7885,0.40654820436942,0.8128,0.419077210540856,0.8006,0.412786927607049,,0.515596961787471
0.6404,0.8262,0.425986209828808,0.8512,0.438876133873495,0.8387,0.432431171851152,0.7894,0.407012241635029,0.8133,0.41933500902175,0.8013,0.4131478454803,,0.515596961787471
0.6405,0.8271,0.426450247094417,0.8517,0.439133932354389,0.8394,0.432792089724403,0.7903,0.407476278900638,0.8138,0.419592807502644,0.802,0.413508763353551,,0.515596961787471
0.6406,0.828,0.426914284360026,0.8522,0.439391730835282,0.8401,0.433153007597654,0.7912,0.407940316166247,0.8143,0.419850605983537,0.8027,0.413869681226803,,0.515596961787471
0.6407,0.829,0.427429881321813,0.8527,0.439649529316176,0.8408,0.433513925470905,0.7921,0.408404353431855,0.8147,0.420056844768252,0.8034,0.414230599100054,,0.515596961787471
0.6408,0.8299,0.427893918587422,0.8532,0.43990732779707,0.8415,0.433874843344156,0.7929,0.408816831001285,0.8152,0.420314643249146,0.8041,0.414591516973305,,0.515596961787471
0.6409,0.8308,0.428357955853031,0.8537,0.440165126277964,0.8422,0.434235761217408,0.7938,0.409280868266894,0.8157,0.42057244173004,0.8047,0.414900875150378,,0.515596961787471
0.641,0.8317,0.428821993118639,0.8542,0.440422924758857,0.8429,0.434596679090659,0.7947,0.409744905532503,0.8161,0.420778680514755,0.8054,0.415261793023629,,0.515596961787471
0.6411,0.8326,0.429286030384248,0.8546,0.440629163543572,0.8436,0.43495759696391,0.7955,0.410157383101933,0.8166,0.421036478995648,0.8061,0.41562271089688,,0.515596961787471
0.6412,0.8335,0.429750067649857,0.8551,0.440886962024466,0.8443,0.435318514837161,0.7964,0.410621420367542,0.817,0.421242717780363,0.8067,0.415932069073952,,0.515596961787471
0.6413,0.8344,0.430214104915465,0.8556,0.44114476050536,0.845,0.435679432710413,0.7972,0.411033897936972,0.8175,0.421500516261257,0.8073,0.416241427251025,,0.515596961787471
0.6414,0.8353,0.430678142181074,0.8561,0.441402558986253,0.8457,0.436040350583664,0.7981,0.41149793520258,0.8179,0.421706755045972,0.808,0.416602345124276,,0.515596961787471
0.6415,0.8362,0.431142179446683,0.8565,0.441608797770969,0.8464,0.436401268456915,0.7989,0.41191041277201,0.8183,0.421912993830687,0.8086,0.416911703301349,,0.515596961787471
0.6416,0.8371,0.431606216712292,0.857,0.441866596251862,0.8471,0.436762186330166,0.7997,0.41232289034144,0.8187,0.422119232615402,0.8092,0.417221061478421,,0.515596961787471
0.6417,0.838,0.4320702539779,0.8574,0.442072835036577,0.8477,0.437071544507239,0.8005,0.41273536791087,0.8191,0.422325471400117,0.8098,0.417530419655494,,0.515596961787471
0.6418,0.8389,0.432534291243509,0.8579,0.442330633517471,0.8484,0.43743246238049,0.8014,0.413199405176479,0.8195,0.422531710184832,0.8104,0.417839777832566,,0.515596961787471
0.6419,0.8398,0.432998328509118,0.8584,0.442588431998365,0.8491,0.437793380253741,0.8022,0.413611882745909,0.8199,0.422737948969547,0.811,0.418149136009639,,0.515596961787471
0.642,0.8407,0.433462365774726,0.8588,0.44279467078308,0.8497,0.438102738430814,0.8029,0.41397280061916,0.8203,0.422944187754262,0.8116,0.418458494186711,,0.515596961787471
0.6421,0.8415,0.433874843344156,0.8592,0.443000909567795,0.8504,0.438463656304065,0.8037,0.41438527818859,0.8207,0.423150426538977,0.8122,0.418767852363784,,0.515596961787471
0.6422,0.8424,0.434338880609765,0.8597,0.443258708048688,0.851,0.438773014481137,0.8045,0.41479775575802,0.821,0.423305105627513,0.8128,0.419077210540856,,0.515596961787471
0.6423,0.8433,0.434802917875374,0.8601,0.443464946833403,0.8517,0.439133932354389,0.8053,0.41521023332745,0.8214,0.423511344412228,0.8133,0.41933500902175,,0.515596961787471
0.6424,0.8441,0.435215395444804,0.8606,0.443722745314297,0.8523,0.439443290531461,0.806,0.415571151200701,0.8217,0.423666023500765,0.8139,0.419644367198822,,0.515596961787471
0.6425,0.845,0.435679432710413,0.861,0.443928984099012,0.853,0.439804208404712,0.8068,0.415983628770131,0.8221,0.42387226228548,0.8144,0.419902165679716,,0.515596961787471
0.6426,0.8458,0.436091910279843,0.8614,0.444135222883727,0.8536,0.440113566581785,0.8075,0.416344546643382,0.8224,0.424026941374016,0.815,0.420211523856788,,0.515596961787471
0.6427,0.8467,0.436555947545451,0.8619,0.444393021364621,0.8543,0.440474484455036,0.8083,0.416757024212812,0.8227,0.424181620462552,0.8155,0.420469322337682,,0.515596961787471
0.6428,0.8475,0.436968425114881,0.8623,0.444599260149336,0.8549,0.440783842632109,0.809,0.417117942086064,0.8231,0.424387859247267,0.816,0.420727120818576,,0.515596961787471
0.6429,0.8484,0.43743246238049,0.8627,0.444805498934051,0.8555,0.441093200809181,0.8097,0.417478859959315,0.8234,0.424542538335803,0.8166,0.421036478995648,,0.515596961787471
0.643,0.8492,0.43784493994992,0.8631,0.445011737718766,0.8562,0.441454118682432,0.8104,0.417839777832566,0.8237,0.424697217424339,0.8171,0.421294277476542,,0.515596961787471
0.6431,0.8501,0.438308977215529,0.8635,0.445217976503481,0.8568,0.441763476859505,0.8111,0.418200695705817,0.824,0.424851896512876,0.8176,0.421552075957436,,0.515596961787471
0.6432,0.8509,0.438721454784959,0.8639,0.445424215288196,0.8574,0.442072835036577,0.8118,0.418561613579069,0.8243,0.425006575601412,0.8181,0.42180987443833,,0.515596961787471
0.6433,0.8517,0.439133932354389,0.8643,0.445630454072911,0.858,0.44238219321365,0.8125,0.41892253145232,0.8246,0.425161254689948,0.8186,0.422067672919223,,0.515596961787471
0.6434,0.8525,0.439546409923819,0.8648,0.445888252553805,0.8587,0.442743111086901,0.8132,0.419283449325571,0.8249,0.425315933778484,0.8191,0.422325471400117,,0.515596961787471
0.6435,0.8534,0.440010447189427,0.8652,0.446094491338519,0.8593,0.443052469263973,0.8139,0.419644367198822,0.8252,0.425470612867021,0.8195,0.422531710184832,,0.515596961787471
0.6436,0.8542,0.440422924758857,0.8656,0.446300730123234,0.8599,0.443361827441046,0.8146,0.420005285072073,0.8254,0.425573732259378,0.82,0.422789508665726,,0.515596961787471
0.6437,0.855,0.440835402328287,0.866,0.446506968907949,0.8605,0.443671185618118,0.8153,0.420366202945325,0.8257,0.425728411347914,0.8205,0.42304730714662,,0.515596961787471
0.6438,0.8558,0.441247879897717,0.8663,0.446661647996486,0.8611,0.443980543795191,0.8159,0.420675561122397,0.826,0.425883090436451,0.821,0.423305105627513,,0.515596961787471
0.6439,0.8566,0.441660357467147,0.8667,0.446867886781201,0.8617,0.444289901972263,0.8166,0.421036478995648,0.8262,0.425986209828808,0.8214,0.423511344412228,,0.515596961787471
0.644,0.8574,0.442072835036577,0.8671,0.447074125565916,0.8623,0.444599260149336,0.8172,0.421345837172721,0.8265,0.426140888917344,0.8219,0.423769142893122,,0.515596961787471
0.6441,0.8582,0.442485312606007,0.8675,0.447280364350631,0.8629,0.444908618326408,0.8179,0.421706755045972,0.8267,0.426244008309702,0.8223,0.423975381677837,,0.515596961787471
0.6442,0.859,0.442897790175437,0.8679,0.447486603135346,0.8635,0.445217976503481,0.8185,0.422016113223045,0.827,0.426398687398238,0.8227,0.424181620462552,,0.515596961787471
0.6443,0.8598,0.443310267744867,0.8683,0.447692841920061,0.864,0.445475774984375,0.8191,0.422325471400117,0.8272,0.426501806790596,0.8232,0.424439418943446,,0.515596961787471
0.6444,0.8606,0.443722745314297,0.8686,0.447847521008597,0.8646,0.445785133161447,0.8198,0.422686389273368,0.8274,0.426604926182953,0.8236,0.424645657728161,,0.515596961787471
0.6445,0.8614,0.444135222883727,0.869,0.448053759793312,0.8652,0.446094491338519,0.8204,0.422995747450441,0.8276,0.426708045575311,0.824,0.424851896512876,,0.515596961787471
0.6446,0.8622,0.444547700453157,0.8694,0.448259998578027,0.8658,0.446403849515592,0.821,0.423305105627513,0.8279,0.426862724663847,0.8244,0.425058135297591,,0.515596961787471
0.6447,0.863,0.444960178022587,0.8697,0.448414677666563,0.8664,0.446713207692664,0.8216,0.423614463804586,0.8281,0.426965844056204,0.8248,0.425264374082306,,0.515596961787471
0.6448,0.8637,0.445321095895838,0.8701,0.448620916451278,0.8669,0.446971006173558,0.8222,0.423923821981658,0.8283,0.427068963448562,0.8252,0.425470612867021,,0.515596961787471
0.6449,0.8645,0.445733573465268,0.8705,0.448827155235993,0.8675,0.447280364350631,0.8228,0.424233180158731,0.8285,0.427172082840919,0.8256,0.425676851651736,,0.515596961787471
0.645,0.8653,0.446146051034698,0.8708,0.448981834324529,0.868,0.447538162831524,0.8234,0.424542538335803,0.8286,0.427223642537098,0.826,0.425883090436451,,0.515596961787471
0.6451,0.866,0.446506968907949,0.8712,0.449188073109244,0.8686,0.447847521008597,0.8239,0.424800336816697,0.8288,0.427326761929456,0.8264,0.426089329221166,,0.515596961787471
0.6452,0.8668,0.446919446477379,0.8715,0.449342752197781,0.8691,0.448105319489491,0.8245,0.425109694993769,0.829,0.427429881321813,0.8268,0.426295568005881,,0.515596961787471
0.6453,0.8675,0.447280364350631,0.8718,0.449497431286317,0.8697,0.448414677666563,0.8251,0.425419053170842,0.8292,0.427533000714171,0.8271,0.426450247094417,,0.515596961787471
0.6454,0.8683,0.447692841920061,0.8722,0.449703670071032,0.8702,0.448672476147457,0.8256,0.425676851651736,0.8293,0.427584560410349,0.8275,0.426656485879132,,0.515596961787471
0.6455,0.869,0.448053759793312,0.8725,0.449858349159568,0.8707,0.448930274628351,0.8262,0.425986209828808,0.8295,0.427687679802707,0.8278,0.426811164967668,,0.515596961787471
0.6456,0.8697,0.448414677666563,0.8728,0.450013028248104,0.8713,0.449239632805423,0.8267,0.426244008309702,0.8296,0.427739239498886,0.8282,0.427017403752383,,0.515596961787471
0.6457,0.8705,0.448827155235993,0.8731,0.45016770733664,0.8718,0.449497431286317,0.8273,0.426553366486774,0.8298,0.427842358891243,0.8285,0.427172082840919,,0.515596961787471
0.6458,0.8712,0.449188073109244,0.8734,0.450322386425177,0.8723,0.449755229767211,0.8278,0.426811164967668,0.8299,0.427893918587422,0.8289,0.427378321625634,,0.515596961787471
0.6459,0.8719,0.449548990982496,0.8737,0.450477065513713,0.8728,0.450013028248104,0.8283,0.427068963448562,0.8301,0.427997037979779,0.8292,0.427533000714171,,0.515596961787471
0.646,0.8726,0.449909908855747,0.874,0.450631744602249,0.8733,0.450270826728998,0.8289,0.427378321625634,0.8302,0.428048597675958,0.8295,0.427687679802707,,0.515596961787471
0.6461,0.8734,0.450322386425177,0.8743,0.450786423690785,0.8738,0.450528625209892,0.8294,0.427636120106528,0.8303,0.428100157372137,0.8298,0.427842358891243,,0.515596961787471
0.6462,0.8741,0.450683304298428,0.8746,0.450941102779322,0.8744,0.450837983386964,0.8299,0.427893918587422,0.8304,0.428151717068316,0.8302,0.428048597675958,,0.515596961787471
0.6463,0.8748,0.451044222171679,0.8749,0.451095781867858,0.8749,0.451095781867858,0.8304,0.428151717068316,0.8306,0.428254836460673,0.8305,0.428203276764494,,0.515596961787471
0.6464,0.8755,0.45140514004493,0.8752,0.451250460956394,0.8754,0.451353580348752,0.8309,0.428409515549209,0.8307,0.428306396156852,0.8308,0.428357955853031,,0.515596961787471
0.6465,0.8762,0.451766057918182,0.8755,0.45140514004493,0.8759,0.451611378829645,0.8314,0.428667314030103,0.8308,0.428357955853031,0.8311,0.428512634941567,,0.515596961787471
0.6466,0.8769,0.452126975791433,0.8758,0.451559819133467,0.8764,0.451869177310539,0.8319,0.428925112510997,0.8309,0.428409515549209,0.8314,0.428667314030103,,0.515596961787471
0.6467,0.8776,0.452487893664684,0.8761,0.451714498222003,0.8769,0.452126975791433,0.8324,0.42918291099189,0.831,0.428461075245388,0.8317,0.428821993118639,,0.515596961787471
0.6468,0.8783,0.452848811537935,0.8764,0.451869177310539,0.8773,0.452333214576148,0.8329,0.429440709472784,0.8311,0.428512634941567,0.832,0.428976672207175,,0.515596961787471
0.6469,0.879,0.453209729411187,0.8767,0.452023856399075,0.8778,0.452591013057042,0.8334,0.429698507953678,0.8312,0.428564194637746,0.8323,0.429131351295712,,0.515596961787471
0.647,0.8797,0.453570647284438,0.8769,0.452126975791433,0.8783,0.452848811537935,0.8339,0.429956306434572,0.8313,0.428615754333924,0.8326,0.429286030384248,,0.515596961787471
0.6471,0.8804,0.453931565157689,0.8772,0.452281654879969,0.8788,0.453106610018829,0.8344,0.430214104915465,0.8314,0.428667314030103,0.8329,0.429440709472784,,0.515596961787471
0.6472,0.8811,0.45429248303094,0.8775,0.452436333968505,0.8793,0.453364408499723,0.8349,0.430471903396359,0.8315,0.428718873726282,0.8332,0.42959538856132,,0.515596961787471
0.6473,0.8818,0.454653400904192,0.8778,0.452591013057042,0.8798,0.453622206980617,0.8354,0.430729701877253,0.8316,0.42877043342246,0.8335,0.429750067649857,,0.515596961787471
0.6474,0.8824,0.454962759081264,0.878,0.452694132449399,0.8802,0.453828445765332,0.8358,0.430935940661968,0.8317,0.428821993118639,0.8338,0.429904746738393,,0.515596961787471
