LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_P90,Lab_P90_corr,Lab_P0,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,U-Arm
0.4037,0.8344,0.4529,0.6556,0.3558,0.745,0.4043,0.7645,0.4149,0.6007,0.3260,0.6826,0.3705,,0.542733643986811
0.4038,0.8351,0.4532,0.65,0.3528,0.7426,0.4030,0.7653,0.4154,0.5956,0.3233,0.6805,0.3693,,0.542733643986811
0.4039,0.8358,0.4536,0.6444,0.3497,0.7401,0.4017,0.766,0.4157,0.5905,0.3205,0.6783,0.3681,,0.542733643986811
0.404,0.8365,0.4540,0.6387,0.3466,0.7376,0.4003,0.7668,0.4162,0.5854,0.3177,0.6761,0.3669,,0.542733643986811
0.4041,0.8372,0.4544,0.633,0.3436,0.7351,0.3990,0.7675,0.4165,0.5802,0.3149,0.6739,0.3657,,0.542733643986811
0.4042,0.8379,0.4548,0.6272,0.3404,0.7326,0.3976,0.7682,0.4169,0.575,0.3121,0.6716,0.3645,,0.542733643986811
0.4043,0.8386,0.4551,0.6214,0.3373,0.73,0.3962,0.7689,0.4173,0.5697,0.3092,0.6693,0.3633,,0.542733643986811
0.4044,0.8392,0.4555,0.6155,0.3341,0.7274,0.3948,0.7695,0.4176,0.5644,0.3063,0.667,0.3620,,0.542733643986811
0.4045,0.8398,0.4558,0.6096,0.3309,0.7247,0.3933,0.7702,0.4180,0.559,0.3034,0.6646,0.3607,,0.542733643986811
0.4046,0.8404,0.4561,0.6036,0.3276,0.722,0.3919,0.7708,0.4183,0.5536,0.3005,0.6622,0.3594,,0.542733643986811
0.4047,0.841,0.4564,0.5976,0.3243,0.7193,0.3904,0.7714,0.4187,0.5482,0.2975,0.6598,0.3581,,0.542733643986811
0.4048,0.8415,0.4567,0.5916,0.3211,0.7166,0.3889,0.772,0.4190,0.5427,0.2945,0.6573,0.3567,,0.542733643986811
0.4049,0.8421,0.4570,0.5855,0.3178,0.7138,0.3874,0.7726,0.4193,0.5371,0.2915,0.6548,0.3554,,0.542733643986811
0.405,0.8426,0.4573,0.5793,0.3144,0.711,0.3859,0.7731,0.4196,0.5315,0.2885,0.6523,0.3540,,0.542733643986811
0.4051,0.8431,0.4576,0.5732,0.3111,0.7081,0.3843,0.7736,0.4199,0.5259,0.2854,0.6497,0.3526,,0.542733643986811
0.4052,0.8435,0.4578,0.5669,0.3077,0.7052,0.3827,0.7741,0.4201,0.5202,0.2823,0.6471,0.3512,,0.542733643986811
0.4053,0.844,0.4581,0.5607,0.3043,0.7023,0.3812,0.7745,0.4203,0.5145,0.2792,0.6445,0.3498,,0.542733643986811
0.4054,0.8444,0.4583,0.5544,0.3009,0.6994,0.3796,0.7749,0.4206,0.5088,0.2761,0.6419,0.3484,,0.542733643986811
0.4055,0.8447,0.4584,0.5481,0.2975,0.6964,0.3780,0.7753,0.4208,0.503,0.2730,0.6392,0.3469,,0.542733643986811
0.4056,0.8451,0.4587,0.5417,0.2940,0.6934,0.3763,0.7757,0.4210,0.4972,0.2698,0.6364,0.3454,,0.542733643986811
0.4057,0.8454,0.4588,0.5353,0.2905,0.6904,0.3747,0.776,0.4212,0.4913,0.2666,0.6337,0.3439,,0.542733643986811
0.4058,0.8457,0.4590,0.5289,0.2871,0.6873,0.3730,0.7763,0.4213,0.4854,0.2634,0.6309,0.3424,,0.542733643986811
0.4059,0.8459,0.4591,0.5224,0.2835,0.6842,0.3713,0.7765,0.4214,0.4795,0.2602,0.628,0.3408,,0.542733643986811
0.406,0.8461,0.4592,0.5159,0.2800,0.681,0.3696,0.7767,0.4215,0.4736,0.2570,0.6251,0.3393,,0.542733643986811
0.4061,0.8463,0.4593,0.5093,0.2764,0.6778,0.3679,0.7769,0.4216,0.4676,0.2538,0.6222,0.3377,,0.542733643986811
0.4062,0.8465,0.4594,0.5028,0.2729,0.6746,0.3661,0.777,0.4217,0.4615,0.2505,0.6193,0.3361,,0.542733643986811
0.4063,0.8466,0.4595,0.4962,0.2693,0.6714,0.3644,0.7771,0.4218,0.4555,0.2472,0.6163,0.3345,,0.542733643986811
0.4064,0.8466,0.4595,0.4896,0.2657,0.6681,0.3626,0.7772,0.4218,0.4494,0.2439,0.6133,0.3329,,0.542733643986811
0.4065,0.8466,0.4595,0.4829,0.2621,0.6648,0.3608,0.7772,0.4218,0.4433,0.2406,0.6102,0.3312,,0.542733643986811
0.4066,0.8466,0.4595,0.4763,0.2585,0.6614,0.3590,0.7771,0.4218,0.4372,0.2373,0.6072,0.3295,,0.542733643986811
0.4067,0.8465,0.4594,0.4696,0.2549,0.6581,0.3572,0.777,0.4217,0.4311,0.2340,0.6041,0.3279,,0.542733643986811
0.4068,0.8464,0.4594,0.4629,0.2512,0.6547,0.3553,0.7769,0.4216,0.4249,0.2306,0.6009,0.3261,,0.542733643986811
0.4069,0.8463,0.4593,0.4562,0.2476,0.6512,0.3534,0.7767,0.4215,0.4188,0.2273,0.5978,0.3244,,0.542733643986811
0.407,0.8461,0.4592,0.4495,0.2440,0.6478,0.3516,0.7765,0.4214,0.4126,0.2239,0.5946,0.3227,,0.542733643986811
0.4071,0.8458,0.4590,0.4428,0.2403,0.6443,0.3497,0.7763,0.4213,0.4064,0.2206,0.5913,0.3209,,0.542733643986811
0.4072,0.8455,0.4589,0.4361,0.2367,0.6408,0.3478,0.776,0.4212,0.4002,0.2172,0.5881,0.3192,,0.542733643986811
0.4073,0.8452,0.4587,0.4293,0.2330,0.6373,0.3459,0.7756,0.4209,0.394,0.2138,0.5848,0.3174,,0.542733643986811
0.4074,0.8448,0.4585,0.4226,0.2294,0.6337,0.3439,0.7752,0.4207,0.3878,0.2105,0.5815,0.3156,,0.542733643986811
0.4075,0.8444,0.4583,0.4158,0.2257,0.6301,0.3420,0.7748,0.4205,0.3815,0.2071,0.5782,0.3138,,0.542733643986811
0.4076,0.8439,0.4580,0.409,0.2220,0.6264,0.3400,0.7743,0.4202,0.3753,0.2037,0.5748,0.3120,,0.542733643986811
0.4077,0.8433,0.4577,0.4022,0.2183,0.6228,0.3380,0.7738,0.4200,0.3691,0.2003,0.5714,0.3101,,0.542733643986811
0.4078,0.8428,0.4574,0.3954,0.2146,0.6191,0.3360,0.7732,0.4196,0.3628,0.1969,0.568,0.3083,,0.542733643986811
0.4079,0.8421,0.4570,0.3886,0.2109,0.6154,0.3340,0.7726,0.4193,0.3565,0.1935,0.5646,0.3064,,0.542733643986811
0.408,0.8415,0.4567,0.3818,0.2072,0.6117,0.3320,0.7719,0.4189,0.3503,0.1901,0.5611,0.3045,,0.542733643986811
0.4081,0.8408,0.4563,0.375,0.2035,0.6079,0.3299,0.7712,0.4186,0.344,0.1867,0.5576,0.3026,,0.542733643986811
0.4082,0.84,0.4559,0.3682,0.1998,0.6041,0.3279,0.7705,0.4182,0.3378,0.1833,0.5541,0.3007,,0.542733643986811
